Name;Max Phase;Molecular Weight;AlogP;Topological Polar Surface Area;Rotatable Bond Count;Inorganic Flag;Heavy Atom Count;Hydrogen Bond Acceptor Count;Hydrogen Bond Donor Count;Molecular Formula;positive charge;negative charge;target system;double bond equivalents
DEBRISOQUIN;4;175.24;0.94;53.11;0.0;0;13.0;3.0;3.0;C10H13N3;1;0;CARDIOVASCULAR;6.0
CHROMONAR;0;361.44;2.93;68.98;9.0;0;26.0;6.0;0.0;C20H27NO5;1;0;CARDIOVASCULAR;8.0
ENALAPRIL;4;376.45;1.6;95.94;9.0;0;27.0;7.0;2.0;C20H28N2O5;0;1;CARDIOVASCULAR;8.0
NICOFURANOSE;4;600.54;1.82;186.22;10.0;0;44.0;14.0;1.0;C30H24N4O10;0;0;CARDIOVASCULAR;21.0
OCTOPAMINE;0;153.18;0.38;66.48;2.0;0;11.0;3.0;4.0;C8H11NO2;1;0;CARDIOVASCULAR;4.0
TIADENOL;0;294.53;3.56;40.46;15.0;0;18.0;2.0;2.0;C14H30O2S2;0;0;CARDIOVASCULAR;0.0
CICLONICATE;0;247.34;3.45;39.19;2.0;0;18.0;3.0;0.0;C15H21NO2;0;0;CARDIOVASCULAR;6.0
BAMETHAN;4;209.29;1.82;52.49;6.0;0;15.0;3.0;3.0;C12H19NO2;1;0;CARDIOVASCULAR;4.0
ISOXSUPRINE;4;301.39;2.87;61.72;7.0;0;22.0;4.0;3.0;C18H23NO3;1;0;CARDIOVASCULAR;8.0
NYLIDRIN;0;299.41;3.43;52.49;7.0;0;22.0;3.0;3.0;C19H25NO2;1;0;CARDIOVASCULAR;8.0
MUZOLIMINE;4;272.13;2.56;58.69;2.0;0;17.0;4.0;2.0;C11H11Cl2N3O;0;0;CARDIOVASCULAR;7.0
ALUMINIUM NICOTINATE;0;393.29;0.7186888214397733;159.0;0.0;0;28.0;9.0;0.0;C18H12AlN3O6;0;0;CARDIOVASCULAR;14.5
NICERITROL;0;556.53;2.98;156.76;12.0;0;41.0;12.0;0.0;C29H24N4O8;0;0;CARDIOVASCULAR;20.0
MERSALYL;4;505.85;2.3718950130176744;88.7;9.0;0;22.0;6.0;2.0;C13H16HgNNaO6;0;0;CARDIOVASCULAR;6.5
NIACIN;4;123.11;0.78;50.19;1.0;0;9.0;3.0;1.0;C6H5NO2;0;1;CARDIOVASCULAR;5.0
DIOSMIN;4;608.55;-1.09;238.2;7.0;0;43.0;15.0;8.0;C28H32O15;0;0;CARDIOVASCULAR;13.0
ATENOLOL;4;266.34;0.45;84.58;8.0;0;19.0;5.0;4.0;C14H22N2O3;1;0;CARDIOVASCULAR;5.0
METOPROLOL;4;267.37;1.61;50.72;9.0;0;19.0;4.0;2.0;C15H25NO3;1;0;CARDIOVASCULAR;4.0
BENIDIPINE;3;505.57;4.21;111.01;7.0;0;37.0;9.0;1.0;C28H31N3O6;0;0;CARDIOVASCULAR;15.0
PROPRANOLOL;4;259.35;2.58;41.49;6.0;0;19.0;3.0;2.0;C16H21NO2;1;0;CARDIOVASCULAR;7.0
CAFEDRINE;0;357.41;0.15;94.08;6.0;0;26.0;8.0;2.0;C18H23N5O3;1;0;CARDIOVASCULAR;10.0
HYDROCORTISONE CYPIONATE;4;486.65;4.3;100.9;6.0;0;35.0;6.0;2.0;C29H42O6;0;0;CARDIOVASCULAR;9.0
NICOTINYL ALCOHOL;0;109.13;0.57;33.12;1.0;0;8.0;2.0;1.0;C6H7NO;0;0;CARDIOVASCULAR;4.0
CALCIUM DOBESILATE;4;418.41;0.34;94.83;1.0;0;12.0;5.0;3.0;C12H10CaO10S2;0;1;CARDIOVASCULAR;8.0
BETAMETHASONE VALERATE;4;476.59;3.64;100.9;6.0;0;34.0;6.0;2.0;C27H37FO6;0;0;CARDIOVASCULAR;9.0
IMOLAMINE;0;260.34;1.96;58.05;6.0;0;19.0;5.0;1.0;C14H20N4O;0;0;CARDIOVASCULAR;7.0
ADENOSINE;4;267.25;-1.98;139.54;2.0;0;19.0;9.0;5.0;C10H13N5O4;0;0;CARDIOVASCULAR;7.0
GALLOPAMIL;2;484.64;5.1;73.18;14.0;0;35.0;7.0;0.0;C28H40N2O5;1;0;CARDIOVASCULAR;10.0
GUANAZODINE;0;184.29;0.39;73.93;2.0;0;13.0;4.0;5.0;C9H20N4;1;0;CARDIOVASCULAR;2.0
OXEDRINE;0;167.21;0.64;52.49;3.0;0;12.0;3.0;3.0;C9H13NO2;1;0;CARDIOVASCULAR;4.0
MOXONIDINE;4;241.68;0.82;71.43;2.0;0;16.0;6.0;2.0;C9H12ClN5O;0;0;CARDIOVASCULAR;6.0
DEXTROTHYROXINE;4;776.87;4.56;92.78;5.0;0;24.0;5.0;4.0;C15H11I4NO4;1;1;CARDIOVASCULAR;9.0
BENDROFLUMETHIAZIDE;4;421.42;1.63;118.36;3.0;0;27.0;7.0;4.0;C15H14F3N3O4S2;0;0;CARDIOVASCULAR;9.0
CLOFENAMIDE;0;270.72;-0.37;120.32;2.0;0;15.0;6.0;4.0;C6H7ClN2O4S2;0;0;CARDIOVASCULAR;4.0
EZETIMIBE;4;409.43;4.89;60.77;6.0;0;30.0;4.0;2.0;C24H21F2NO3;0;0;CARDIOVASCULAR;14.0
BOPINDOLOL;0;380.49;4.47;63.35;7.0;0;28.0;5.0;2.0;C23H28N2O3;1;0;CARDIOVASCULAR;11.0
HEXOBENDINE;0;592.69;3.4;114.46;19.0;0;42.0;12.0;0.0;C30H44N2O10;1;0;CARDIOVASCULAR;10.0
PROPATYL NITRATE;3;269.17;0.01;157.11;10.0;0;18.0;12.0;0.0;C6H11N3O9;0;0;CARDIOVASCULAR;3.0
DEXAMETHASONE SODIUM PHOSPHATE;4;516.41;2.01;141.36;4.0;0;32.0;8.0;4.0;C22H28FNa2O8P;0;1;CARDIOVASCULAR;8.5
TIMOLOL;4;316.43;0.5;79.74;6.0;0;21.0;7.0;2.0;C13H24N4O3S;1;0;CARDIOVASCULAR;4.0
LIDOFLAZINE;4;491.63;5.75;35.58;9.0;0;36.0;4.0;1.0;C30H35F2N3O;0;0;CARDIOVASCULAR;14.0
FENOLDOPAM;4;305.76;2.73;72.72;1.0;0;21.0;4.0;4.0;C16H16ClNO3;1;0;CARDIOVASCULAR;9.0
AJMALINE;3;326.44;1.55;46.94;1.0;0;24.0;4.0;2.0;C20H26N2O2;0;0;CARDIOVASCULAR;9.0
PROBUCOL;4;516.86;9.91;40.46;4.0;0;35.0;2.0;2.0;C31H48O2S2;0;0;CARDIOVASCULAR;8.0
ACETYLDIGOXIN;0;822.99;2.79;209.13;8.0;0;58.0;15.0;5.0;C43H66O15;0;0;CARDIOVASCULAR;11.0
LANDIOLOL;3;509.6;0.69;127.82;13.0;0;36.0;11.0;3.0;C25H39N3O8;1;0;CARDIOVASCULAR;8.0
TENITRAMINE;0;416.3;-1.58;215.96;19.0;0;28.0;18.0;0.0;C10H20N6O12;0;0;CARDIOVASCULAR;4.0
DIHYDRALAZINE;0;190.21;0.2;101.88;2.0;0;14.0;6.0;6.0;C8H10N6;0;0;CARDIOVASCULAR;7.0
AMBRISENTAN;4;378.43;3.52;81.54;7.0;0;28.0;6.0;1.0;C22H22N2O4;0;1;CARDIOVASCULAR;13.0
ROSUVASTATIN;4;481.55;2.4;140.92;10.0;0;33.0;9.0;3.0;C22H28FN3O6S;0;1;CARDIOVASCULAR;10.0
ETOFIBRATE;0;363.8;3.29;74.72;7.0;0;25.0;6.0;0.0;C18H18ClNO5;0;0;CARDIOVASCULAR;10.0
DILTIAZEM;4;414.53;3.37;59.08;6.0;0;29.0;6.0;0.0;C22H26N2O4S;0;0;CARDIOVASCULAR;11.0
ACADESINE;3;258.23;-2.82;156.85;3.0;0;18.0;9.0;7.0;C9H14N4O5;0;0;CARDIOVASCULAR;5.0
FUROSEMIDE;4;330.75;1.89;122.63;5.0;0;21.0;7.0;4.0;C12H11ClN2O5S;0;1;CARDIOVASCULAR;8.0
NEBIVOLOL;4;405.44;2.36;70.95;6.0;0;29.0;5.0;3.0;C22H25F2NO4;1;0;CARDIOVASCULAR;10.0
CLORIDAROL;0;258.7;4.17;33.37;2.0;0;18.0;2.0;1.0;C15H11ClO2;0;0;CARDIOVASCULAR;10.0
BETAXOLOL;4;307.43;2.39;50.72;11.0;0;22.0;4.0;2.0;C18H29NO3;1;0;CARDIOVASCULAR;5.0
NITRENDIPINE;4;360.37;2.57;107.77;5.0;0;26.0;8.0;1.0;C18H20N2O6;0;0;CARDIOVASCULAR;10.0
TOCAINIDE;4;192.26;1.59;55.12;2.0;0;14.0;3.0;3.0;C11H16N2O;0;0;CARDIOVASCULAR;5.0
ATORVASTATIN;4;558.65;6.31;111.79;12.0;0;41.0;7.0;4.0;C33H35FN2O5;0;1;CARDIOVASCULAR;17.0
DOBUTAMINE;4;301.39;2.96;72.72;7.0;0;22.0;4.0;4.0;C18H23NO3;1;0;CARDIOVASCULAR;8.0
BEZAFIBRATE;4;361.83;3.55;75.63;7.0;0;25.0;5.0;2.0;C19H20ClNO4;0;1;CARDIOVASCULAR;10.0
ACIPIMOX;4;154.12;-0.28;77.13;1.0;0;11.0;5.0;1.0;C6H6N2O3;0;1;CARDIOVASCULAR;5.0
CLONIDINE;4;230.1;2.17;36.42;1.0;0;14.0;3.0;2.0;C9H9Cl2N3;1;0;CARDIOVASCULAR;6.0
NIMODIPINE;4;418.45;2.97;117.0;8.0;0;30.0;9.0;1.0;C21H26N2O7;0;0;CARDIOVASCULAR;10.0
GUANOXAN;0;207.23;0.31;80.36;2.0;0;15.0;5.0;4.0;C10H13N3O2;1;0;CARDIOVASCULAR;6.0
MIBEFRADIL;4;495.64;5.27;67.45;11.0;0;36.0;6.0;1.0;C29H38FN3O3;1;0;CARDIOVASCULAR;12.0
PHENYLEPHRINE;4;167.21;0.65;52.49;3.0;0;12.0;3.0;3.0;C9H13NO2;1;0;CARDIOVASCULAR;4.0
TRIMAZOSIN;0;435.48;1.27;132.5;6.0;0;31.0;11.0;3.0;C20H29N5O6;0;0;CARDIOVASCULAR;9.0
AZILSARTAN MEDOXOMIL;4;568.54;4.71;155.59;9.0;0;42.0;12.0;1.0;C30H24N4O8;0;1;CARDIOVASCULAR;21.0
CHOLINE FENOFIBRATE;4;421.92;3.81;63.6;5.0;0;22.0;4.0;1.0;C22H28ClNO5;0;1;CARDIOVASCULAR;9.0
MEGLUTOL;0;162.14;-0.31;94.83;4.0;0;11.0;5.0;3.0;C6H10O5;0;1;CARDIOVASCULAR;2.0
RONIFIBRATE;0;377.82;3.68;74.72;8.0;0;26.0;6.0;0.0;C19H20ClNO5;0;0;CARDIOVASCULAR;10.0
INAMRINONE;4;187.2;1.02;71.77;1.0;0;14.0;4.0;3.0;C10H9N3O;0;0;CARDIOVASCULAR;8.0
PERHEXILINE;4;277.5;5.3;12.03;4.0;0;20.0;1.0;1.0;C19H35N;1;0;CARDIOVASCULAR;3.0
TROLNITRATE;0;284.18;-1.09;160.35;12.0;0;19.0;13.0;0.0;C6H12N4O9;0;0;CARDIOVASCULAR;3.0
PRENYLAMINE;4;329.49;5.43;12.03;8.0;0;25.0;1.0;1.0;C24H27N;1;0;CARDIOVASCULAR;12.0
MILRINONE;4;211.22;1.62;69.54;1.0;0;16.0;4.0;1.0;C12H9N3O;0;0;CARDIOVASCULAR;10.0
POLYTHIAZIDE;4;439.89;1.66;109.57;4.0;0;25.0;7.0;3.0;C11H13ClF3N3O4S3;0;0;CARDIOVASCULAR;5.0
METHOXAMINE;4;211.26;1.08;64.71;4.0;0;15.0;4.0;3.0;C11H17NO3;1;0;CARDIOVASCULAR;4.0
DIGITALIS;3;764.9;3.01734367991001;183.0;7.0;0;54.0;13.0;5.0;C41H64O13;0;0;CARDIOVASCULAR;10.0
FLECAINIDE;4;414.35;3.44;59.59;7.0;0;28.0;5.0;2.0;C17H20F6N2O3;1;0;CARDIOVASCULAR;6.0
MEPINDOLOL;0;262.35;2.21;57.28;6.0;0;19.0;4.0;3.0;C15H22N2O2;1;0;CARDIOVASCULAR;6.0
ESMOLOL;4;295.38;1.53;67.79;9.0;0;21.0;5.0;2.0;C16H25NO4;1;0;CARDIOVASCULAR;5.0
LEVOSIMENDAN;3;280.29;1.36;113.43;3.0;0;21.0;7.0;2.0;C14H12N6O;0;1;CARDIOVASCULAR;12.0
CIFENLINE;0;262.36;2.99;24.39;3.0;0;20.0;2.0;1.0;C18H18N2;1;0;CARDIOVASCULAR;11.0
METHYLDOPA;4;211.22;0.44;103.78;3.0;0;15.0;5.0;5.0;C10H13NO4;1;1;CARDIOVASCULAR;5.0
MEBUTIZIDE;0;381.91;1.7;118.36;4.0;0;23.0;7.0;4.0;C13H20ClN3O4S2;0;0;CARDIOVASCULAR;5.0
IBUTILIDE;4;384.59;4.16;69.64;14.0;0;26.0;5.0;2.0;C20H36N2O3S;1;0;CARDIOVASCULAR;4.0
BETAMETHASONE;4;392.47;1.9;94.83;2.0;0;28.0;5.0;3.0;C22H29FO5;0;0;CARDIOVASCULAR;8.0
XIPAMIDE;4;354.82;2.56;109.49;3.0;0;23.0;6.0;4.0;C15H15ClN2O4S;0;1;CARDIOVASCULAR;9.0
TORSEMIDE;4;348.43;2.53;100.19;5.0;0;24.0;7.0;3.0;C16H20N4O3S;0;1;CARDIOVASCULAR;9.0
CHLOROTHIAZIDE;4;295.73;-0.06;118.69;1.0;0;17.0;7.0;3.0;C7H6ClN3O4S2;0;1;CARDIOVASCULAR;6.0
ERYTHRITYL TETRANITRATE;0;302.11;-1.44;209.48;11.0;0;20.0;16.0;0.0;C4H6N4O12;0;0;CARDIOVASCULAR;4.0
NADOLOL;4;309.41;0.63;81.95;5.0;0;22.0;5.0;4.0;C17H27NO4;1;0;CARDIOVASCULAR;5.0
IBUPROFEN;4;206.28;3.07;37.3;4.0;0;15.0;2.0;1.0;C13H18O2;0;1;CARDIOVASCULAR;5.0
BOSENTAN;4;551.63;4.2;145.65;10.0;0;39.0;11.0;2.0;C27H29N5O6S;0;1;CARDIOVASCULAR;16.0
BARNIDIPINE;0;491.54;3.82;111.01;7.0;0;36.0;9.0;1.0;C27H29N3O6;0;0;CARDIOVASCULAR;15.0
PENTOXIFYLLINE;4;278.31;0.19;78.89;5.0;0;20.0;7.0;0.0;C13H18N4O3;0;0;CARDIOVASCULAR;7.0
PENTOSAN POLYSULFATE SODIUM;4;1705.1;-2.0215991566573255;824.0;20.0;0;98.0;50.0;0.0;C29H38Na10O50S9;0;0;CARDIOVASCULAR;11.0
ETOFYLLINE NICOTINATE;0;329.32;-0.31;101.01;4.0;0;24.0;9.0;0.0;C15H15N5O4;0;0;CARDIOVASCULAR;11.0
FENOFIBRATE;4;360.84;4.68;52.6;6.0;0;25.0;4.0;0.0;C20H21ClO4;0;0;CARDIOVASCULAR;10.0
METOLAZONE;4;365.84;2.71;92.5;2.0;0;24.0;6.0;3.0;C16H16ClN3O3S;0;0;CARDIOVASCULAR;10.0
ETHACIZINE;0;413.54;5.12;61.88;7.0;0;29.0;6.0;1.0;C22H27N3O3S;1;0;CARDIOVASCULAR;11.0
HYDROFLUMETHIAZIDE;4;331.3;0.01;118.36;1.0;0;20.0;7.0;4.0;C8H8F3N3O4S2;0;0;CARDIOVASCULAR;5.0
AMILORIDE;4;229.63;-1.08;156.79;1.0;0;15.0;8.0;8.0;C6H8ClN7O;0;0;CARDIOVASCULAR;6.0
CLOREXOLONE;0;328.82;2.28;80.47;2.0;0;21.0;5.0;2.0;C14H17ClN2O3S;0;0;CARDIOVASCULAR;7.0
NISOLDIPINE;4;388.42;3.2;107.77;6.0;0;28.0;8.0;1.0;C20H24N2O6;0;0;CARDIOVASCULAR;10.0
BUFLOMEDIL;0;307.39;2.77;48.0;8.0;0;22.0;5.0;0.0;C17H25NO4;1;0;CARDIOVASCULAR;6.0
NITROGLYCERIN;4;227.09;-1.02;157.11;8.0;0;15.0;12.0;0.0;C3H5N3O9;0;0;CARDIOVASCULAR;3.0
DOPEXAMINE;4;356.51;3.62;64.52;13.0;0;26.0;4.0;4.0;C22H32N2O2;1;0;CARDIOVASCULAR;8.0
DELAPRIL;3;452.55;2.61;95.94;11.0;0;33.0;7.0;2.0;C26H32N2O5;0;1;CARDIOVASCULAR;12.0
FENQUIZONE;0;337.79;1.84;101.29;2.0;0;22.0;6.0;4.0;C14H12ClN3O3S;0;0;CARDIOVASCULAR;10.0
RIOCIGUAT;4;422.42;2.44;138.07;4.0;0;31.0;10.0;4.0;C20H19FN8O2;0;0;CARDIOVASCULAR;15.0
FIMASARTAN;3;501.66;4.22;92.59;9.0;0;36.0;8.0;1.0;C27H31N7OS;0;1;CARDIOVASCULAR;16.0
GEPEFRINE;0;151.21;1.28;46.25;2.0;0;11.0;2.0;3.0;C9H13NO;1;0;CARDIOVASCULAR;4.0
HIDROSMIN;0;652.6;-1.42;247.43;10.0;0;46.0;16.0;8.0;C30H36O16;0;0;CARDIOVASCULAR;13.0
EFLOXATE;0;324.33;3.4;65.74;5.0;0;24.0;5.0;0.0;C19H16O5;0;0;CARDIOVASCULAR;12.0
BETAMETHASONE DIPROPIONATE;4;504.6;3.82;106.97;6.0;0;36.0;7.0;1.0;C28H37FO7;0;0;CARDIOVASCULAR;10.0
TRAPIDIL;0;205.26;1.28;46.32;3.0;0;15.0;5.0;0.0;C10H15N5;0;0;CARDIOVASCULAR;6.0
OXYFEDRINE;0;313.4;2.98;58.56;8.0;0;23.0;4.0;2.0;C19H23NO3;1;0;CARDIOVASCULAR;9.0
CANRENOATE POTASSIUM;4;396.57;3.89;74.6;3.0;0;26.0;4.0;2.0;C22H29KO4;0;1;CARDIOVASCULAR;8.5
INDAPAMIDE;4;365.84;2.08;92.5;3.0;0;24.0;6.0;3.0;C16H16ClN3O3S;0;0;CARDIOVASCULAR;10.0
VERAPAMIL;4;454.61;5.09;63.95;13.0;0;33.0;6.0;0.0;C27H38N2O4;1;0;CARDIOVASCULAR;10.0
ALPROSTADIL;4;354.49;3.48;94.83;13.0;0;25.0;5.0;3.0;C20H34O5;0;1;CARDIOVASCULAR;4.0
THEODRENALINE;0;375.39;-0.83;134.54;6.0;0;27.0;10.0;4.0;C17H21N5O5;1;0;CARDIOVASCULAR;10.0
EPLERENONE;4;414.5;3.12;82.2;1.0;0;30.0;6.0;0.0;C24H30O6;0;0;CARDIOVASCULAR;10.0
LACIDIPINE;4;455.55;4.4;90.93;7.0;0;33.0;7.0;1.0;C26H33NO6;0;0;CARDIOVASCULAR;11.0
ENDRALAZINE;0;269.31;0.38;87.37;1.0;0;20.0;6.0;3.0;C14H15N5O;0;0;CARDIOVASCULAR;10.0
RESERPINE;4;608.69;4.17;117.78;8.0;0;44.0;11.0;1.0;C33H40N2O9;0;0;CARDIOVASCULAR;15.0
CARVEDILOL;4;406.48;3.74;75.74;10.0;0;30.0;6.0;3.0;C24H26N2O4;1;0;CARDIOVASCULAR;13.0
TOLAZOLINE;4;160.22;1.23;24.39;2.0;0;12.0;2.0;1.0;C10H12N2;1;0;CARDIOVASCULAR;6.0
QUINIDINE POLYGALACTURONATE;4;518.6;1.5084510298279508;181.0;9.0;0;37.0;11.0;6.0;C26H34N2O9;0;0;CARDIOVASCULAR;11.0
CANDESARTAN;3;440.46;4.03;118.81;7.0;0;33.0;9.0;2.0;C24H20N6O3;0;1;CARDIOVASCULAR;18.0
MAGNESIUM PYRIDOXAL 5-PHOSPHATE GLUTAMATE;0;415.58;-2.191020268171597;223.0;8.0;0;26.0;11.0;6.0;C13H18MgN3O9P;0;0;CARDIOVASCULAR;6.5
IMIDAPRIL;4;405.45;0.88;116.25;9.0;0;29.0;9.0;2.0;C20H27N3O6;0;1;CARDIOVASCULAR;9.0
IRBESARTAN;4;428.54;4.78;87.13;7.0;0;32.0;7.0;1.0;C25H28N6O;0;1;CARDIOVASCULAR;15.0
ETOZOLIN;0;284.38;1.41;49.85;3.0;0;19.0;5.0;0.0;C13H20N2O3S;0;0;CARDIOVASCULAR;5.0
TRICHLORMETHIAZIDE;4;380.66;0.82;118.36;2.0;0;20.0;7.0;4.0;C8H8Cl3N3O4S2;0;0;CARDIOVASCULAR;5.0
THEOBROMINE;3;180.17;-1.04;72.68;0.0;0;13.0;6.0;1.0;C7H8N4O2;0;0;CARDIOVASCULAR;6.0
CLOFIBRATE;4;242.7;3.06;35.53;4.0;0;16.0;3.0;0.0;C12H15ClO3;0;0;CARDIOVASCULAR;5.0
LOVASTATIN;4;404.55;4.2;72.83;6.0;0;29.0;5.0;1.0;C24H36O5;0;0;CARDIOVASCULAR;7.0
LISINOPRIL;4;441.53;1.24;132.96;12.0;0;29.0;8.0;5.0;C21H35N3O7;1;1;CARDIOVASCULAR;6.0
MIDODRINE;4;254.29;-0.19;93.81;6.0;0;18.0;6.0;4.0;C12H18N2O4;0;0;CARDIOVASCULAR;5.0
SIMFIBRATE;0;469.36;5.48;71.06;10.0;0;31.0;6.0;0.0;C23H26Cl2O6;0;0;CARDIOVASCULAR;10.0
SODIUM TETRADECYL SULFATE;4;316.44;4.22;63.6;11.0;0;19.0;4.0;1.0;C14H29NaO4S;0;1;CARDIOVASCULAR;0.5
EPROSARTAN;4;424.52;4.74;92.42;10.0;0;30.0;6.0;2.0;C23H24N2O4S;0;1;CARDIOVASCULAR;13.0
PHENOL;4;94.11;1.39;20.23;0.0;0;7.0;1.0;1.0;C6H6O;0;0;CARDIOVASCULAR;4.0
MEPHENTERMINE;4;163.26;2.23;12.03;3.0;0;12.0;1.0;1.0;C11H17N;1;0;CARDIOVASCULAR;4.0
FLUVASTATIN;4;411.47;4.63;82.69;8.0;0;30.0;5.0;3.0;C24H26FNO4;0;1;CARDIOVASCULAR;12.0
CLEVIDIPINE;4;456.32;4.25;90.93;7.0;0;30.0;7.0;1.0;C21H23Cl2NO6;0;0;CARDIOVASCULAR;10.0
TOLONIDINE;0;209.68;1.83;36.42;1.0;0;14.0;3.0;2.0;C10H12ClN3;1;0;CARDIOVASCULAR;6.0
MONOXERUTIN;0;654.57;-2.02;278.66;9.0;0;46.0;17.0;10.0;C29H34O17;0;0;CARDIOVASCULAR;13.0
BISOPROLOL;4;325.45;2.37;59.95;12.0;0;23.0;5.0;2.0;C18H31NO4;1;0;CARDIOVASCULAR;4.0
HYDROCORTISONE ACETATE;4;404.5;2.35;100.9;3.0;0;29.0;6.0;2.0;C23H32O6;0;0;CARDIOVASCULAR;8.0
LORCAINIDE;0;370.92;4.79;23.55;5.0;0;26.0;3.0;0.0;C22H27ClN2O;1;0;CARDIOVASCULAR;10.0
TEDISAMIL;3;288.48;3.23;6.48;4.0;0;21.0;2.0;0.0;C19H32N2;1;0;CARDIOVASCULAR;5.0
BETAMETHASONE ACETATE;4;434.5;2.47;100.9;3.0;0;31.0;6.0;2.0;C24H31FO6;0;0;CARDIOVASCULAR;9.0
VALSARTAN;4;435.53;4.16;112.07;10.0;0;32.0;8.0;2.0;C24H29N5O3;0;1;CARDIOVASCULAR;13.0
ITRAMIN TOSYLATE;0;278.29;-0.85;78.39;3.0;0;7.0;5.0;2.0;C9H14N2O6S;1;0;CARDIOVASCULAR;4.0
CYMARIN;0;550.69;2.63;123.91;5.0;0;39.0;9.0;3.0;C30H46O9;0;0;CARDIOVASCULAR;8.0
INDORAMIN;4;347.46;3.6;48.13;5.0;0;26.0;4.0;2.0;C22H25N3O;1;0;CARDIOVASCULAR;12.0
RANOLAZINE;4;427.55;2.31;74.27;9.0;0;31.0;7.0;2.0;C24H33N3O4;0;0;CARDIOVASCULAR;10.0
FLUOROMETHOLONE ACETATE;4;418.51;3.49;80.67;2.0;0;30.0;5.0;1.0;C24H31FO5;0;0;CARDIOVASCULAR;9.0
TRIBENOSIDE;0;478.59;4.5;66.38;13.0;0;35.0;6.0;1.0;C29H34O6;0;0;CARDIOVASCULAR;13.0
ARBUTAMINE;4;317.39;2.45;92.95;8.0;0;23.0;5.0;5.0;C18H23NO4;1;0;CARDIOVASCULAR;8.0
POLIDOCANOL;4;582.82;4.05;103.3;37.0;0;40.0;10.0;1.0;C30H62O10;0;0;CARDIOVASCULAR;0.0
BUCLADESINE;0;469.39;1.69;163.99;7.0;0;32.0;13.0;2.0;C18H24N5O8P;0;1;CARDIOVASCULAR;9.5
ENCAINIDE;4;352.48;4.36;41.57;6.0;0;26.0;4.0;1.0;C22H28N2O2;1;0;CARDIOVASCULAR;10.0
LINSIDOMINE;0;170.17;-2.03;67.44;1.0;0;12.0;6.0;1.0;C6H10N4O2;0;1;CARDIOVASCULAR;4.0
DOPAMINE;4;153.18;0.6;66.48;2.0;0;11.0;3.0;4.0;C8H11NO2;1;0;CARDIOVASCULAR;4.0
CICLETANINE;2;261.71;3.37;42.35;1.0;0;18.0;3.0;1.0;C14H12ClNO2;0;0;CARDIOVASCULAR;9.0
TEMOCAPRIL;0;476.62;2.97;95.94;10.0;0;32.0;7.0;2.0;C23H28N2O5S2;0;1;CARDIOVASCULAR;11.0
FOSINOPRIL;4;563.67;6.12;110.21;14.0;0;39.0;8.0;1.0;C30H46NO7P;0;1;CARDIOVASCULAR;8.5
TERTATOLOL;4;295.45;2.85;41.49;5.0;0;20.0;3.0;2.0;C16H25NO2S;1;0;CARDIOVASCULAR;5.0
AMIODARONE;4;645.32;6.94;42.68;11.0;0;31.0;4.0;0.0;C25H29I2NO3;0;0;CARDIOVASCULAR;11.0
GITOFORMATE;0;921.0;3.12;233.41;17.0;0;65.0;19.0;1.0;C46H64O19;0;0;CARDIOVASCULAR;15.0
PINACIDIL;4;263.35;2.35;73.1;2.0;0;18.0;5.0;2.0;C13H21N5O;0;0;CARDIOVASCULAR;6.0
PRAMOXINE;4;293.41;2.97;30.93;9.0;0;21.0;4.0;0.0;C17H27NO3;0;0;CARDIOVASCULAR;5.0
PRENALTEROL;0;225.29;1.13;61.72;6.0;0;16.0;4.0;3.0;C12H19NO3;1;0;CARDIOVASCULAR;4.0
OXPRENOLOL;4;265.35;1.99;50.72;9.0;0;19.0;4.0;2.0;C15H23NO3;1;0;CARDIOVASCULAR;5.0
XANTHINOL NIACINATE;4;434.45;-2.28;105.52;6.0;0;22.0;9.0;2.0;C19H26N6O6;1;0;CARDIOVASCULAR;10.0
RUTIN;2;610.52;-1.69;269.43;6.0;0;43.0;16.0;10.0;C27H30O16;0;1;CARDIOVASCULAR;13.0
IVABRADINE;4;468.59;3.31;60.47;10.0;0;34.0;7.0;0.0;C27H36N2O5;1;0;CARDIOVASCULAR;11.0
DOFETILIDE;4;441.58;1.98;104.81;11.0;0;29.0;8.0;2.0;C19H27N3O5S2;1;0;CARDIOVASCULAR;8.0
CADRALAZINE;0;283.33;0.76;99.61;7.0;0;20.0;8.0;3.0;C12H21N5O3;0;0;CARDIOVASCULAR;5.0
BETAMETHASONE SODIUM PHOSPHATE;4;516.41;2.01;141.36;4.0;0;32.0;8.0;4.0;C22H28FNa2O8P;0;1;CARDIOVASCULAR;8.5
CONIVAPTAN;4;498.59;6.51;78.09;4.0;0;38.0;6.0;2.0;C32H26N4O2;0;0;CARDIOVASCULAR;22.0
FRUCTOSE 1,6-DIPHOSPHATE;0;340.11;-2.99;203.44;6.0;0;20.0;12.0;7.0;C6H14O12P2;0;1;CARDIOVASCULAR;0.0
TASOSARTAN;0;411.47;3.42;100.55;4.0;0;31.0;8.0;1.0;C23H21N7O;0;1;CARDIOVASCULAR;17.0
DESERPIDINE;4;578.66;4.16;108.55;7.0;0;42.0;10.0;1.0;C32H38N2O8;0;0;CARDIOVASCULAR;15.0
PRAZOSIN;4;383.41;1.78;106.95;4.0;0;28.0;9.0;2.0;C19H21N5O4;0;0;CARDIOVASCULAR;12.0
BENZOCAINE;4;165.19;1.45;52.32;2.0;0;12.0;3.0;2.0;C9H11NO2;0;0;CARDIOVASCULAR;5.0
