Name;Max Phase;Molecular Weight;AlogP;Topological Polar Surface Area;Rotatable Bond Count;Inorganic Flag;Heavy Atom Count;Hydrogen Bond Acceptor Count;Hydrogen Bond Donor Count;Molecular Formula;positive charge;negative charge;double bond equivalents
AERUGINOSIN EI461;0;461.56;0.44;153.19;8.0;0;33.0;9.0;6.0;C24H35N3O6;0;0;9.0
ARDISIANOSIDE G;0;1063.24;1.725514507961634;346.0;10.0;0;74.0;22.0;13.0;C52H86O22;0;0;10.0
SC-58272;0;596.82;2.93;151.37;19.0;0;43.0;10.0;6.0;C33H52N6O4;1;0;11.0
PLATONIN;0;656.13;11.76;11.0;22.0;0;44.0;3.0;0.0;C38H61N3S3+2;0;0;10.0
YANGONIN;0;258.27;2.83;48.67;4.0;0;19.0;4.0;0.0;C15H14O4;0;0;9.0
TENILAPINE;0;340.48;3.4;42.63;0.0;0;23.0;4.0;0.0;C17H16N4S2;1;0;12.0
TERNSTROSIDE D;0;466.44;-0.34;186.37;8.0;0;33.0;11.0;7.0;C22H26O11;0;0;10.0
3,4-DI-(2-CHLOROPYRIDIN-3-YL)FUROXAN;0;309.11;2.74;78.75;2.0;0;20.0;6.0;0.0;C12H6Cl2N4O2;0;0;11.0
DIPROXADOL;0;271.7;0.81;70.0;3.0;0;18.0;5.0;2.0;C12H14ClNO4;0;0;6.0
CANDOXATRILAT;0;399.48;2.06;122.16;11.0;0;28.0;8.0;3.0;C20H33NO7;0;1;5.0
TENUIFOLIN;0;296.32;3.02;47.92;2.0;0;22.0;4.0;1.0;C18H16O4;0;0;11.0
OCTOTIAMINE;0;544.77;4.09;135.71;17.0;0;35.0;9.0;3.0;C23H36N4O5S3;0;0;8.0
FIMASARTAN POTASSIUM TRIHYDRATE;0;593.8;4.22;92.59;9.0;0;36.0;8.0;1.0;C27H36KN7O4S;0;1;13.5
ONC-206;1;408.45;3.14;39.15;4.0;0;30.0;5.0;0.0;C23H22F2N4O;0;0;14.0
SPIRIPROSTIL;0;366.5;3.99;95.5;12.0;0;26.0;6.0;3.0;C20H34N2O4;0;1;5.0
CALDARET;2;256.33;0.65;69.64;2.0;0;17.0;5.0;2.0;C11H16N2O3S;1;1;5.0
THYMOQUINONE;2;164.2;1.67;34.14;1.0;0;12.0;2.0;0.0;C10H12O2;0;0;5.0
SANSANMYCIN G;0;885.98;1.15;289.31;15.0;0;64.0;20.0;10.0;C44H55N9O11;0;1;22.0
ALTROPANE I-123;3;425.27;3.88;29.54;4.0;0;23.0;3.0;0.0;C18H21FINO2;0;0;8.0
XENYTROPIUM BROMIDE;0;536.51;5.31;46.53;7.0;0;34.0;4.0;1.0;C30H34BrNO3;0;0;14.0
CITRAZINIC ACID;0;155.11;0.19;90.65;1.0;0;11.0;5.0;3.0;C6H5NO4;0;1;5.0
PERASTINE;0;295.43;4.28;12.47;6.0;0;22.0;2.0;0.0;C20H25NO;1;0;9.0
VUF-5297;0;123.16;0.22;54.7;1.0;0;9.0;3.0;3.0;C6H9N3;1;0;4.0
CAVIUNIN;0;374.35;2.91;107.59;5.0;0;27.0;8.0;2.0;C19H18O8;0;0;11.0
PENICILLENOL A2;0;297.39;2.2;77.84;7.0;0;21.0;5.0;2.0;C16H27NO4;0;1;4.0
POLYVINYL ACETATE PHTHALATE;0;252.22;0.786413487980492;101.0;4.0;0;18.0;6.0;2.0;C12H12O6;0;0;7.0
CLORFENVINFOS;0;359.57;5.73;44.76;7.0;0;20.0;4.0;0.0;C12H14Cl3O4P;0;0;4.5
XEROPHILUSIN N;0;362.42;0.93;104.06;0.0;0;26.0;6.0;3.0;C20H26O6;0;0;8.0
VINTRIPTOL;0;969.19;5.02;192.92;11.0;0;71.0;15.0;6.0;C56H68N6O9;1;0;26.0
SARASINOSIDE I2;0;1335.49;1.453893408307791;460.0;21.0;0;93.0;28.0;16.0;C63H102N2O28;0;0;14.0
DIMOXYLINE;0;367.45;4.56;49.81;7.0;0;27.0;5.0;0.0;C22H25NO4;0;0;11.0
METOPON HYDROCHLORIDE;0;335.83;2.02;49.77;0.0;0;22.0;4.0;1.0;C18H22ClNO3;1;0;8.0
PENTADECYLAMINE;0;227.44;5.04;26.02;13.0;0;16.0;1.0;2.0;C15H33N;1;0;0.0
CEFMATILEN;0;514.6;0.2;199.78;8.0;0;32.0;13.0;6.0;C15H14N8O5S4;0;1;13.0
OXODIPINE;0;359.38;2.39;83.09;4.0;0;26.0;7.0;1.0;C19H21NO6;0;0;10.0
NAGELAMIDE F;0;699.21;3.02;199.18;7.0;0;37.0;12.0;10.0;C22H23Br3N10O2;1;0;15.0
CHLORTETRACYCLINE HYDROCHLORIDE;4;515.35;0.44;181.62;2.0;0;33.0;10.0;7.0;C22H24Cl2N2O8;1;1;11.0
INDOLAPRIL HYDROCHLORIDE;0;467.01;2.77;95.94;9.0;0;31.0;7.0;2.0;C24H35ClN2O5;0;1;8.0
BISARAMIL;0;322.84;2.38;32.78;3.0;0;22.0;4.0;0.0;C17H23ClN2O2;1;0;7.0
13-EPICYLLENIN A;0;350.46;2.79;64.99;0.0;0;25.0;5.0;1.0;C20H30O5;0;0;6.0
YUNGENSIN F;0;592.73;7.69;141.36;11.0;0;43.0;8.0;4.0;C35H44O8;0;1;14.0
HYDROXYNORKETAMINE, (2R,6R);1;239.7;1.61;63.32;1.0;0;16.0;3.0;3.0;C12H14ClNO2;0;0;6.0
VEBUFLOXACIN;0;359.4;2.1;65.78;2.0;0;26.0;6.0;1.0;C19H22FN3O3;0;1;10.0
MIROGABALIN BESYLATE;0;367.47;1.78;63.32;4.0;0;15.0;3.0;3.0;C18H25NO5S;1;1;7.0
AFEROSIDE C;0;708.89;2.0;176.76;6.0;0;50.0;12.0;6.0;C38H60O12;0;0;9.0
OXYCODEGOL PHOSPHATE;0;693.72;1.59;106.54;20.0;0;42.0;11.0;1.0;C31H52NO14P;1;0;6.5
CYPRODENATE;0;227.35;2.45;29.54;6.0;0;16.0;3.0;0.0;C13H25NO2;0;0;2.0
PORICOIC ACID H;0;500.72;7.02;94.83;10.0;0;36.0;5.0;3.0;C31H48O5;0;1;8.0
TOPILUTAMIDE;0;403.24;1.98;121.57;5.0;0;27.0;8.0;3.0;C13H11F6N3O5;0;1;7.0
METOCHALCONE;0;298.34;3.61;44.76;6.0;0;22.0;4.0;0.0;C18H18O4;0;0;10.0
ROHITIUKA 7;0;672.72;2.92;185.1;9.0;0;48.0;13.0;2.0;C35H44O13;0;0;14.0
ARTONIN N;0;500.55;6.65;120.36;3.0;0;37.0;7.0;4.0;C30H28O7;0;0;17.0
CYCLIRAMINE;0;298.82;4.26;16.13;2.0;0;21.0;2.0;0.0;C18H19ClN2;0;0;10.0
BARBAMIDE;0;461.84;5.81;42.43;8.0;0;28.0;4.0;0.0;C20H23Cl3N2O2S;0;0;9.0
ZENAZOCINE MESYLATE;0;453.65;4.7;40.54;6.0;0;26.0;3.0;1.0;C24H39NO5S;1;0;6.0
ZUCLOMIPHENE;0;405.97;6.56;12.47;9.0;0;29.0;2.0;0.0;C26H28ClNO;1;0;13.0
HYPERLACTONE A;0;250.29;2.0;52.6;3.0;0;18.0;4.0;0.0;C14H18O4;0;0;6.0
METHYLSAMIDORPHAN CHLORIDE;0;420.94;1.4;100.62;3.0;0;28.0;6.0;4.0;C22H29ClN2O4;0;0;9.0
TILISOLOL;0;304.39;1.67;63.49;5.0;0;22.0;5.0;2.0;C17H24N2O3;1;0;7.0
MESUDIPINE;0;376.48;3.16;77.52;6.0;0;26.0;6.0;1.0;C19H24N2O4S;0;0;9.0
ACITEMATE;0;294.31;1.33;98.49;4.0;0;21.0;7.0;1.0;C14H18N2O5;0;1;7.0
CRYPTOPHYCIN 176;0;627.13;4.19;143.56;7.0;0;44.0;10.0;3.0;C33H39ClN2O8;0;0;15.0
PISONIN B;0;222.2;1.52;79.9;1.0;0;16.0;5.0;2.0;C11H10O5;0;0;7.0
VELARESOL;0;238.24;1.84;83.83;7.0;0;17.0;5.0;2.0;C12H14O5;0;1;6.0
BUFALIN;0;386.53;4.24;70.67;1.0;0;28.0;4.0;2.0;C24H34O4;0;0;8.0
TEZACITABINE;2;275.24;-1.07;110.6;2.0;0;18.0;7.0;4.0;C10H14FN3O5;0;0;5.0
PELANSERIN HYDROCHLORIDE;0;400.91;1.9;61.34;5.0;0;27.0;6.0;1.0;C21H25ClN4O2;0;0;11.0
CEFOVECIN SODIUM;0;475.48;-0.01;156.44;6.0;0;30.0;11.0;4.0;C17H18N5NaO6S2;0;1;11.5
XEROPHILUSIN X1;0;438.52;0.65;122.52;3.0;0;31.0;8.0;3.0;C23H34O8;0;0;7.0
3-METHYLCHOLANTHRENE;0;268.36;5.55;0.0;0.0;0;21.0;0.0;0.0;C21H16;0;0;14.0
NITROETHANE;0;75.07;0.28;43.14;1.0;0;5.0;3.0;0.0;C2H5NO2;0;0;1.0
TOMOGLUMIDE;0;418.58;4.48;86.71;14.0;0;30.0;6.0;2.0;C24H38N2O4;0;1;7.0
NOLINIUM BROMIDE;0;370.08;4.48;16.13;2.0;0;19.0;2.0;1.0;C15H11BrCl2N2;0;0;10.0
PREDNISOLONE METAZOATE;0;544.62;2.67;155.27;5.0;0;38.0;9.0;3.0;C28H32O9S;0;1;13.0
(R)-METHYLPHENOBARBITAL;0;246.27;1.04;66.48;2.0;0;18.0;5.0;1.0;C13H14N2O3;0;0;8.0
PSEUROTIN A1;0;431.44;0.0;142.39;7.0;0;31.0;9.0;4.0;C22H25NO8;0;0;11.0
KIPUKASIN F;0;478.45;-0.51;155.52;7.0;0;34.0;12.0;2.0;C22H26N2O10;0;0;11.0
SODWANONE U;0;482.66;6.52;80.67;3.0;0;35.0;5.0;1.0;C30H42O5;0;0;10.0
ORBOFIBAN ACETATE;0;1703.83;0.33;137.61;7.0;0;26.0;9.0;5.0;C76H110N20O25;1;0;32.0
ARISANSCHININ F;0;388.46;4.17;77.38;4.0;0;28.0;6.0;2.0;C22H28O6;0;0;9.0
SALBOSTATIN;0;321.33;-4.56;162.87;4.0;0;22.0;9.0;8.0;C13H23NO8;0;0;3.0
FURAZOLIUM;0;238.25;1.63;72.19;2.0;0;16.0;6.0;1.0;C9H8N3O3S+;1;0;8.0
ETIPIRIUM;0;340.44;2.71;46.53;6.0;0;25.0;4.0;1.0;C21H26NO3+;1;0;10.0
LESPEFLORIN G10;0;338.4;4.52;58.92;2.0;0;25.0;4.0;2.0;C21H22O4;0;0;11.0
GSK-579289A;0;511.05;5.45;82.61;7.0;0;35.0;7.0;2.0;C26H27ClN4O3S;1;0;15.0
IOGLUCOL;0;807.11;-1.42;199.89;10.0;0;33.0;12.0;8.0;C18H24I3N3O9;0;0;7.0
FAMIRAPRINIUM;0;272.33;1.79;80.09;5.0;0;20.0;5.0;3.0;C15H18N3O2+;1;1;9.0
ACETYLTRIETHYL CITRATE;0;318.32;0.76;105.2;9.0;0;22.0;8.0;0.0;C14H22O8;0;0;4.0
PF-07059013;1;365.37;2.97;98.82;4.0;0;27.0;7.0;3.0;C19H16FN5O2;0;0;14.0
TIAMENIDINE;0;215.71;2.08;36.42;1.0;0;13.0;3.0;2.0;C8H10ClN3S;1;0;5.0
ROXIBOLONE;0;360.45;2.47;94.83;1.0;0;26.0;5.0;3.0;C21H28O5;0;1;8.0
CYCLOBUXAMIDINE;0;412.66;5.41;32.34;3.0;0;30.0;3.0;1.0;C27H44N2O;1;0;7.0
DONNAIENIN A;0;596.89;7.41;116.45;26.0;0;42.0;7.0;4.0;C35H64O7;0;0;4.0
MADANGAMINE F;0;478.77;6.66;26.71;0.0;0;35.0;3.0;1.0;C32H50N2O;1;0;9.0
PHOSPHOGLYCOLIC ACID;0;156.03;-0.82;104.06;3.0;0;9.0;6.0;3.0;C2H5O6P;0;1;0.5
VINEPIDINE;0;808.97;4.4;150.94;8.0;0;59.0;13.0;2.0;C46H56N4O9;1;0;21.0
TIOCTILATE;0;250.41;4.92;17.07;8.0;0;17.0;1.0;0.0;C15H22OS;0;0;5.0
SUNAGREL;0;424.61;4.47;43.78;7.0;0;30.0;4.0;1.0;C25H32N2O2S;0;0;11.0
THIOPALMYRONE;0;174.22;0.54;46.53;2.0;0;11.0;3.0;1.0;C7H10O3S;0;0;3.0
OCTADECYLTRIMETHYLPHOSPHONIUM CHLORIDE;0;365.03;8.15;0.0;17.0;0;22.0;0.0;0.0;C21H46ClP;0;0;0.0
PARVAQUONE;0;256.3;3.46;54.37;1.0;0;19.0;3.0;1.0;C16H16O3;0;1;9.0
FLUZINAMIDE;0;274.24;2.11;41.57;2.0;0;19.0;4.0;1.0;C12H13F3N2O2;0;0;6.0
TECHNETIUM TETROFOSMIN;4;480.46;4.92741361776496;75.8;38.0;0;51.0;10.0;2.0;C18H40O4P2Tc;0;0;0.0
CHROMIUM EDETATE;0;341.22;-1.038168704704722;156.0;0.0;0;21.0;10.0;4.0;C10H13CrN2O8;0;0;5.5
INOCOTERONE ACETATE;0;290.4;3.81;43.37;2.0;0;21.0;3.0;0.0;C18H26O3;0;0;6.0
PROCERANOLIDE;0;470.56;4.16;103.04;3.0;0;34.0;7.0;1.0;C27H34O7;0;0;11.0
PESCAPREIN XXX;0;1223.49;2.486513525418545;333.0;24.0;0;85.0;24.0;8.0;C61H106O24;0;0;9.0
DOXACURIUM CHLORIDE;4;1106.14;4.266371043944234;163.0;29.0;0;76.0;18.0;0.0;C56H78Cl2N2O16;0;0;18.0
MONILIFORMINOL B;0;296.45;3.63;57.53;6.0;0;21.0;3.0;2.0;C18H32O3;0;0;3.0
LETIMIDE HYDROCHLORIDE;0;298.77;1.3;55.45;5.0;0;19.0;5.0;0.0;C14H19ClN2O3;1;0;6.0
STILONIUM;0;324.49;5.11;9.23;9.0;0;24.0;2.0;0.0;C22H30NO+;1;0;9.0
ALANYL-dl-PHENYLALANINE;0;236.27;0.15;92.42;5.0;0;17.0;5.0;4.0;C12H16N2O3;0;1;6.0
MENADIOL SULFURIC ACID;0;334.33;1.51;127.2;4.0;0;21.0;8.0;2.0;C11H10O8S2;0;1;7.0
ILEKUDINOSIDE B;0;810.97;1.38;253.13;6.0;0;57.0;15.0;9.0;C42H66O15;0;1;10.0
IOBUTOIC ACID;0;671.01;3.22;76.07;6.0;0;24.0;6.0;1.0;C15H16I3NO5;0;1;7.0
ZETIDOLINE;0;307.82;2.92;26.79;4.0;0;21.0;4.0;0.0;C16H22ClN3O;0;0;7.0
DIETHENOFENCARB;0;267.32;3.44;56.79;6.0;0;19.0;5.0;1.0;C14H21NO4;0;0;5.0
KUSUNOKINOL;0;388.46;3.09;66.38;8.0;0;28.0;6.0;1.0;C22H28O6;0;0;9.0
QUINCLORAC;0;242.06;3.24;50.19;1.0;0;15.0;3.0;1.0;C10H5Cl2NO2;0;1;8.0
9-N-ISOPENTYLMANZAMINE A;0;618.91;8.38;44.53;4.0;0;46.0;5.0;1.0;C41H54N4O;1;0;17.0
TRYPAN BLUE;4;872.89;6.67;359.42;9.0;0;58.0;20.0;10.0;C34H28N6O14S4;0;1;24.0
ROMERGOLINE;0;350.42;1.0;68.44;2.0;0;26.0;6.0;2.0;C20H22N4O2;0;0;12.0
(NONYLAMINO)METHYLENEDIPHOSPHONIC ACID;0;317.26;1.97;127.09;11.0;0;19.0;7.0;5.0;C10H25NO6P2;0;1;0.0
NORFLOXACIN SUCCINIL;0;419.41;1.37;120.15;6.0;0;30.0;9.0;2.0;C20H22FN3O6;0;1;11.0
MOXADOLEN;0;223.23;0.66;64.63;1.0;0;16.0;5.0;1.0;C11H13NO4;0;0;6.0
HYDROXYTETRACAINE;0;280.37;2.32;61.8;8.0;0;20.0;5.0;2.0;C15H24N2O3;0;0;5.0
SCHIZOZYGINE;0;336.39;2.41;42.01;0.0;0;25.0;5.0;0.0;C20H20N2O3;0;0;12.0
ACETOSULFONE;0;369.42;0.51;149.42;4.0;0;24.0;8.0;5.0;C14H15N3O5S2;0;1;9.0
THYMIDINE MONOPHOSPHATE;0;322.21;-1.4;151.08;4.0;0;21.0;10.0;4.0;C10H15N2O8P;0;1;4.5
SODIUM CHROMATE;4;161.97;-5.096868132450782;80.3;0.0;1;7.0;4.0;0.0;CrNa2O4;0;0;1.0
FENAPERONE;0;376.47;3.88;49.85;6.0;0;27.0;5.0;0.0;C21H29FN2O3;0;0;8.0
BIDIMAZIUM;0;397.57;6.14;7.12;5.0;0;29.0;2.0;0.0;C26H25N2S+;1;0;16.0
AZANATOR;0;278.36;3.71;25.36;0.0;0;21.0;3.0;0.0;C18H18N2O;0;0;11.0
ALIFEDRINE;0;289.42;3.24;49.33;7.0;0;21.0;3.0;2.0;C18H27NO2;1;0;6.0
CILINAPHTHALIDE A;0;396.4;3.92;83.45;5.0;0;29.0;7.0;1.0;C22H20O7;0;0;13.0
3-HYDROXYHEXADECANOIC ACID METHYL ESTER;0;286.46;4.61;46.53;14.0;0;20.0;3.0;1.0;C17H34O3;0;0;1.0
CALCOBUTROL;0;450.49;-3.82;185.55;10.0;0;31.0;13.0;6.0;C18H34N4O9;1;1;4.0
FUBROGONIUM;0;333.25;3.46;39.44;7.0;0;19.0;4.0;0.0;C14H23BrNO3+;1;0;4.0
ACTEOL;0;502.69;3.99;91.68;0.0;0;36.0;6.0;3.0;C30H46O6;0;0;8.0
MILAMELINE HYDROCHLORIDE;0;190.67;0.88;24.83;2.0;0;11.0;3.0;0.0;C8H15ClN2O;0;0;2.0
RISOTILIDE;0;377.53;1.46;95.58;9.0;0;24.0;7.0;2.0;C15H27N3O4S2;1;0;4.0
BUTOXAMINE HYDROCHLORIDE;0;303.83;2.51;50.72;5.0;0;19.0;4.0;2.0;C15H26ClNO3;1;0;3.0
CIRAPARANTAG ACETATE;0;572.76;-3.2;240.52;18.0;0;36.0;14.0;14.0;C24H52N12O4;1;0;5.0
HSD-016;1;514.46;4.51;60.85;4.0;0;34.0;5.0;1.0;C21H21F7N2O3S;0;0;9.0
BISDIONIN B;0;386.37;-2.12;123.64;3.0;0;28.0;12.0;0.0;C16H18N8O4;0;0;12.0
DEZAGUANINE MESYLATE;0;246.25;-0.17;87.56;0.0;0;11.0;5.0;4.0;C7H10N4O4S;0;0;5.0
LESINURAD SODIUM;0;426.27;4.24;68.01;5.0;0;24.0;5.0;1.0;C17H13BrN3NaO2S;0;1;12.5
PIRTENIDINE;0;318.55;6.11;17.29;14.0;0;23.0;2.0;0.0;C21H38N2;1;0;4.0
INTRIPTYLINE HYDROCHLORIDE;0;321.85;4.17;3.24;1.0;0;22.0;1.0;0.0;C21H20ClN;0;0;12.0
DELOXOLONE;0;556.78;7.65;100.9;5.0;0;40.0;6.0;2.0;C34H52O6;0;1;9.0
METIPRANOLOL HYDROCHLORIDE;4;345.87;2.27;67.79;7.0;0;22.0;5.0;2.0;C17H28ClNO4;1;0;4.0
ACEROGENIN A;0;298.38;4.2;49.69;0.0;0;22.0;3.0;2.0;C19H22O3;0;0;9.0
DODECLONIUM;0;369.01;6.72;9.23;15.0;0;25.0;2.0;0.0;C22H39ClNO+;1;0;4.0
PIRODOMAST;0;307.35;2.69;58.36;2.0;0;23.0;5.0;1.0;C18H17N3O2;0;0;12.0
TAIWANIAQUINONE G;0;316.44;4.23;43.37;2.0;0;23.0;3.0;0.0;C20H28O3;0;0;7.0
METHYLATROPINE;0;304.41;2.08;46.53;4.0;0;22.0;4.0;1.0;C18H26NO3+;1;0;7.0
NITRAZEPATE;0;325.28;1.84;121.9;3.0;0;24.0;8.0;2.0;C16H11N3O5;0;1;13.0
MAOECRYSTAL P;0;342.39;2.31;80.67;0.0;0;25.0;5.0;1.0;C20H22O5;0;0;10.0
NORTETRAZEPAM;0;274.75;3.58;41.46;1.0;0;19.0;3.0;1.0;C15H15ClN2O;0;0;9.0
NAFTALOFOS;0;349.28;3.55;82.14;6.0;0;24.0;7.0;0.0;C16H16NO6P;0;0;9.5
TABILAUTIDE;0;571.72;1.31;231.01;24.0;0;40.0;13.0;9.0;C27H49N5O8;0;1;6.0
(-)-METHYL SHIKIMATE;0;186.21;-0.15;66.76;1.0;0;13.0;4.0;2.0;C9H14O4;0;0;3.0
MYCALAZAL 19;0;327.51;6.57;32.86;14.0;0;24.0;2.0;1.0;C22H33NO;0;0;7.0
DONEPEZIL HYDROCHLORIDE MONOHYDRATE;0;433.98;4.36;38.77;6.0;0;28.0;4.0;0.0;C24H32ClNO4;1;0;9.0
DEPROSTIL;0;354.53;5.12;74.6;14.0;0;25.0;4.0;2.0;C21H38O4;0;1;3.0
TRECETILIDE FUMARATE;0;949.28;4.5;69.64;14.0;0;28.0;5.0;2.0;C46H78F2N4O10S2;1;0;9.0
ICODULINUM;0;206.27;2.9;45.15;2.0;0;14.0;3.0;2.0;C10H10N2OS;0;0;7.0
STRYCHNINE NITRATE;0;397.43;2.09;32.78;0.0;0;25.0;4.0;0.0;C21H23N3O5;1;0;12.0
FLORASULAM;0;359.29;1.35;98.48;4.0;0;24.0;8.0;1.0;C12H8F3N5O3S;0;0;10.0
SECUNDIFLOROL I;0;300.31;3.02;57.15;2.0;0;22.0;5.0;1.0;C17H16O5;0;0;10.0
SERAZAPINE;0;361.44;3.28;37.71;1.0;0;27.0;5.0;0.0;C22H23N3O2;0;0;13.0
BUTHALITAL;0;240.33;1.13;58.2;4.0;0;16.0;4.0;2.0;C11H16N2O2S;0;0;5.0
PESCAPREIN XXVI;0;1339.61;2.798997320699887;339.0;27.0;0;94.0;25.0;7.0;C69H110O25;0;0;15.0
PICOPERINE;0;295.43;3.57;19.37;6.0;0;22.0;3.0;0.0;C19H25N3;1;0;9.0
NIOMETACIN;0;324.34;2.67;81.42;4.0;0;24.0;6.0;1.0;C18H16N2O4;0;1;12.0
ISATORIBINE;0;334.31;-2.66;163.69;2.0;0;21.0;10.0;6.0;C10H14N4O7S;0;0;6.0
CARYOPHYLLENE;0;204.36;4.73;0.0;0.0;0;15.0;0.0;0.0;C15H24;0;0;4.0
ORNITHINE aKETOGLUTARATE;0;132.16;-0.86;89.34;4.0;0;9.0;4.0;5.0;C5H12N2O2;1;1;1.0
NIFLURIDIDE;0;349.16;3.03;98.26;4.0;0;23.0;6.0;3.0;C10H6F7N3O3;0;0;6.0
ETINTIDINE;0;276.37;0.6;88.89;6.0;0;19.0;6.0;3.0;C12H16N6S;0;0;8.0
SARDOMOZIDE;0;230.28;0.1;124.13;2.0;0;17.0;6.0;7.0;C11H14N6;1;0;8.0
BUTAMISOLE HYDROCHLORIDE;0;325.87;2.74;44.7;3.0;0;20.0;4.0;1.0;C15H20ClN3OS;0;0;7.0
DIETHYLENE GLYCOL MONOETHYL ETHER;0;134.18;0.03;38.69;6.0;0;9.0;3.0;1.0;C6H14O3;0;0;0.0
LAURALKONIUM CHLORIDE;0;474.13;7.45;26.3;17.0;0;32.0;3.0;0.0;C29H44ClNO2;0;0;8.0
SUFOTIDINE;0;421.57;2.23;89.35;10.0;0;29.0;8.0;1.0;C20H31N5O3S;1;0;8.0
BUPARLISIB HYDROCHLORIDE;0;446.86;1.81;89.63;3.0;0;29.0;8.0;2.0;C18H22ClF3N6O2;0;0;9.0
TRETINOIN TOCOFERIL;0;713.14;14.57;35.53;18.0;0;52.0;3.0;0.0;C49H76O3;0;0;12.0
GUANOXAN SULFATE;0;512.55;0.31;80.36;2.0;0;15.0;5.0;4.0;C20H28N6O8S;1;0;10.0
TECHNETIUM MEBROFENIN;4;485.23;1.9437085250439288;107.0;7.0;0;24.0;6.0;3.0;C15H19BrN2O5Tc;0;0;7.0
EMILIUM;0;194.3;2.29;9.23;4.0;0;14.0;2.0;0.0;C12H20NO+;1;0;4.0
TRIGOXYPHIN C;0;630.69;3.85;130.12;5.0;0;46.0;10.0;1.0;C36H38O10;0;0;18.0
GLYCINEBETAINE;0;117.15;-1.56;40.13;2.0;0;8.0;3.0;0.0;C5H11NO2;0;1;1.0
THIOPROPAZATE HYDROCHLORIDE;4;518.94;4.51;36.02;7.0;0;30.0;5.0;0.0;C23H30Cl3N3O2S;0;0;9.0
RIMCAZOLE;0;321.47;3.87;20.2;4.0;0;24.0;3.0;1.0;C21H27N3;1;0;10.0
NIMAZONE;0;248.67;2.08;71.19;2.0;0;17.0;5.0;1.0;C11H9ClN4O;0;0;9.0
MUNRONIN F;0;474.51;2.18;128.73;3.0;0;34.0;9.0;1.0;C25H30O9;0;1;11.0
TROLNITRATE PHOSPHATE;0;480.17;-1.09;160.35;12.0;0;19.0;13.0;0.0;C6H18N4O17P2;0;0;0.0
PROLONIUM;0;176.3;-0.24;20.23;4.0;0;12.0;3.0;1.0;C9H24N2O+2;0;0;0.0
DIHYDROPHENANTHRIDINE;0;181.24;3.28;12.03;0.0;0;14.0;1.0;1.0;C13H11N;0;0;9.0
SUMACETAMOL;0;324.4;1.81;84.5;7.0;0;22.0;6.0;2.0;C15H20N2O4S;0;0;7.0
RUBIDIUM RB-82;3;81.92;-1.0;0.0;0.0;1;1.0;0.0;0.0;Rb;0;0;0.0
CINNAMIC ACID;0;148.16;1.78;37.3;2.0;0;11.0;2.0;1.0;C9H8O2;0;1;6.0
PHENISONONE;0;223.27;1.67;69.56;4.0;0;16.0;4.0;3.0;C12H17NO3;0;0;5.0
LUBABEGRON;0;499.64;5.82;87.4;11.0;0;36.0;6.0;2.0;C29H29N3O3S;1;0;17.0
TROLAMINE SALICYLATE;0;287.31;0.2956088457559982;122.0;7.0;0;20.0;7.0;5.0;C13H21NO6;0;0;4.0
AZASPIRIUM;0;382.44;4.08;61.81;2.0;0;28.0;6.0;0.0;C22H24NO5+;1;0;12.0
ISARIIN B;0;595.78;1.71;171.8;9.0;0;42.0;12.0;5.0;C30H53N5O7;0;0;7.0
VALTRATE;0;422.47;2.66;100.66;8.0;0;30.0;8.0;0.0;C22H30O8;0;0;8.0
OMILOXETINE;0;465.5;5.06;48.0;7.0;0;34.0;5.0;0.0;C27H25F2NO4;0;0;15.0
LYSCAMINE;0;311.34;2.67;61.75;0.0;0;23.0;5.0;1.0;C18H17NO4;0;0;11.0
METABUTOXYCAINE HYDROCHLORIDE;0;344.88;2.95;64.79;10.0;0;22.0;5.0;2.0;C17H29ClN2O3;1;0;4.0
MEDROGESTONE;4;340.51;5.28;34.14;1.0;0;25.0;2.0;0.0;C23H32O2;0;0;8.0
(-)-EPIBATIDINE;0;208.69;2.34;24.92;1.0;0;14.0;2.0;1.0;C11H13ClN2;1;0;6.0
ALPIROPRIDE;0;382.49;0.57;113.76;8.0;0;26.0;8.0;4.0;C17H26N4O4S;0;0;7.0
ADIMOLOL;0;419.53;3.68;79.28;9.0;0;31.0;6.0;3.0;C25H29N3O3;1;0;13.0
TIPROPIDIL HYDROCHLORIDE;0;390.03;4.88;41.49;14.0;0;24.0;3.0;2.0;C20H36ClNO2S;1;0;3.0
ACETOPHENONE;0;120.15;1.89;17.07;1.0;0;9.0;1.0;0.0;C8H8O;0;0;5.0
BI 99179;0;391.47;4.15;75.44;5.0;0;29.0;6.0;1.0;C23H25N3O3;0;0;13.0
SCABRONINE G;0;330.42;3.71;71.44;3.0;0;24.0;4.0;1.0;C20H26O4;0;1;8.0
BAMETHAN SULFATE;4;516.66;1.82;52.49;6.0;0;15.0;3.0;3.0;C24H40N2O8S;1;0;6.0
ZALUNFIBAN;0;386.44;-0.48;130.54;4.0;0;27.0;10.0;4.0;C16H18N8O2S;1;0;12.0
Platinum complex;0;441.34;-3.920849216990794;103.0;5.0;0;10.0;5.0;2.0;C10H18N2O5Pt;0;0;3.0
BRIARELLIN K HYDROPEROXIDE;0;408.49;3.27;91.29;2.0;0;29.0;7.0;1.0;C22H32O7;0;0;7.0
Copper complex;0;321.92;-1.000358783919423;81.3;0.0;0;11.0;5.0;1.0;C8H14CuN6S2+2;0;0;5.0
